name,potential,confidence,hit_potential,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40
Wyatt Duncan,4.5,Yellow (Medium),Yes,70,73,77,79,84,85,88,88,88,88,88,86,85,84,85,85,85,83,83,84,84,84,84
Ethan Duncan,5,Green (High),Yes,70,73,75,78,82,84,87,89,91,92,91,89,90,91,91,92,92,90,91,89,88,87,88
Nolan Duncan,0.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,68,69,68,67,66,67,66
Blake Duncan,1,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,68,67,68,67,67,66,67,67,68,68,68
Colton Duncan,1.5,Green (High),Yes,70,72,72,73,73,73,73,73,73,73,73,72,72,72,72,71,71,71,71,70,70,69,70
Dylan Duncan,2,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,70,69,69,68,67,68,67,67,68,68,68
Hunter Duncan,2.5,Yellow (Medium),Yes,70,73,73,73,73,73,73,73,73,73,73,72,71,71,72,72,72,72,71,71,70,71,70
Brady Duncan,3,Green (High),Yes,70,75,79,79,80,80,80,80,80,80,79,79,79,79,78,78,78,77,76,74,74,75,75
Aiden Duncan,3.5,Red (Low),No,70,71,71,72,72,72,72,72,72,72,72,72,71,71,71,71,70,69,69,67,67,67,68
Cole Duncan,4,Yellow (Medium),Yes,70,75,79,84,84,84,85,85,85,85,84,83,82,81,82,82,82,83,83,83,83,82,82
Landon Duncan,4.5,Green (High),Yes,70,73,78,84,88,90,92,92,92,92,91,91,91,91,89,89,86,88,88,87,86,85,85
Chase Duncan,5,Red (Low),Yes,70,74,78,82,86,87,88,89,89,89,89,89,87,88,87,88,88,87,88,86,85,85,85
Jake Hawkins,0.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,68,68,69,67,67,67,66,67,66,66,66
Connor Hawkins,1,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,72,72,71,70,69,69,69,69,69,69,69,69,68
Mason Hawkins,1.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,69,69,67,67,67,66,67,68,68,68,68,69,67
Tyler Hawkins,2,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,70,70,68,68,68,68,68,69,68,69,69
Owen Hawkins,2.5,Green (High),Yes,70,73,75,76,76,76,76,76,76,76,76,75,74,72,74,73,75,75,75,74,74,74,74
Ryan Hawkins,3,Red (Low),No,70,71,71,71,71,71,71,71,71,71,71,71,70,69,69,70,69,69,69,69,69,69,70
Logan Hawkins,3.5,Yellow (Medium),Yes,70,74,76,80,81,81,81,81,81,81,81,79,77,77,77,78,78,77,77,77,77,79,78
Carter Hawkins,4,Green (High),Yes,70,73,76,79,83,85,86,87,87,87,87,87,85,86,84,83,82,84,83,83,80,80,81
Wyatt Hawkins,4.5,Red (Low),No,70,72,72,74,74,74,74,74,74,74,74,71,71,71,70,69,69,69,69,69,69,67,66
Ethan Hawkins,5,Yellow (Medium),Yes,70,74,79,84,86,90,91,91,92,92,92,92,92,91,91,92,92,91,91,90,91,90,90
Nolan Hawkins,0.5,Green (High),Yes,70,72,72,73,73,73,73,73,73,73,73,72,72,72,72,71,71,71,70,69,68,68,68
Blake Hawkins,1,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,69,69,69,69,70
Colton Hawkins,1.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,68,68,69,68,67,68,66,65,66,66,66
Dylan Hawkins,2,Green (High),Yes,70,72,73,73,73,73,73,73,72,72,72,71,71,71,71,71,70,70,71,71,71,72,71
Hunter Hawkins,2.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,70,69,69,69,69,69,69,68,68,67,67,67
Brady Hawkins,3,Yellow (Medium),Yes,70,72,74,76,77,77,77,77,77,77,77,76,74,75,76,75,74,75,75,75,75,76,75
Aiden Hawkins,3.5,Green (High),Yes,70,73,78,80,84,84,84,84,84,84,84,82,81,80,81,81,80,79,79,80,80,80,78
Cole Hawkins,4,Red (Low),No,70,75,75,75,75,75,75,75,75,75,75,73,71,70,70,69,68,69,68,69,70,71,72
Landon Hawkins,4.5,Yellow (Medium),Yes,70,75,79,83,88,88,88,88,89,89,88,88,88,88,88,88,88,88,88,87,87,87,87
Chase Hawkins,5,Green (High),Yes,70,75,80,84,86,89,92,93,94,94,92,92,91,92,89,90,89,89,89,90,89,88,89
Jake Bryant,0.5,Red (Low),No,70,70,70,70,70,70,70,70,70,70,70,69,67,67,67,67,68,67,67,67,68,68,67
Connor Bryant,1,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,69,68,69,69,69,69,69,69,68,68,68,68
Mason Bryant,1.5,Green (High),Yes,70,72,73,73,73,73,73,73,73,73,73,73,72,72,71,70,70,69,69,67,67,67,68
Tyler Bryant,2,Red (Low),No,70,70,70,70,70,70,70,70,70,70,69,68,66,67,68,67,68,68,68,68,68,68,67
Owen Bryant,2.5,Yellow (Medium),Yes,70,73,73,73,73,73,73,73,73,73,73,72,71,71,70,71,70,71,71,70,70,69,70
Ryan Bryant,3,Green (High),Yes,70,75,78,81,81,81,81,81,81,81,81,79,78,79,79,79,79,78,79,79,78,78,78
Logan Bryant,3.5,Red (Low),Yes,70,75,79,79,79,79,79,79,79,79,78,78,77,77,77,75,75,74,76,76,76,75,75
Carter Bryant,4,Yellow (Medium),Yes,70,76,78,81,85,85,85,85,85,85,85,84,83,83,83,83,83,82,83,83,82,81,80
Wyatt Bryant,4.5,Green (High),Yes,70,74,77,82,87,90,91,92,92,92,92,92,92,92,92,91,91,91,89,90,89,89,88
Ethan Bryant,5,Red (Low),Yes,70,76,78,83,84,86,88,89,89,89,89,89,88,88,89,87,88,86,86,85,85,85,84
Nolan Bryant,0.5,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,69,68,69,69,69,68,68,68,68,68,68
Blake Bryant,1,Green (High),Yes,70,73,73,73,73,73,73,73,73,73,73,73,71,72,71,71,71,70,69,69,70,71,71
Colton Bryant,1.5,Red (Low),Yes,70,70,70,70,70,70,70,70,70,70,70,69,68,68,69,69,69,69,68,68,68,67,67
Dylan Bryant,2,Yellow (Medium),Yes,70,70,70,70,70,70,70,70,70,70,70,70,68,68,68,69,69,68,68,67,68,68,68
Hunter Bryant,2.5,Green (High),Yes,70,74,77,77,77,77,77,77,77,77,77,76,75,75,75,75,75,75,75,76,75,75,75
Brady Bryant,3,Red (Low),No,70,71,72,72,72,72,72,72,72,72,72,70,70,70,70,70,71,71,70,70,70,70,71
Aiden Bryant,3.5,Yellow (Medium),Yes,70,73,75,81,81,81,81,81,81,81,80,80,79,79,78,77,79,77,77,77,78,78,77
Cole Bryant,4,Green (High),Yes,70,73,77,81,87,87,87,87,87,87,87,87,87,86,86,86,85,85,86,86,85,86,84
Landon Bryant,4.5,Red (Low),No,70,73,73,73,73,73,73,73,73,73,72,71,70,71,71,71,71,71,70,70,69,69,68
Chase Bryant,5,Yellow (Medium),Yes,70,74,78,82,87,89,90,91,91,91,91,91,91,91,92,90,90,89,89,88,87,86,87
