Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
20,Ian Moore,D,3,77,Med,,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Tristan Luneau,D,67,77,Med,2 Way D-Man,,Canada,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Corey Schueneman,D,,75,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Drew Helleson,D,14,75,Med,,,United States,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,James Hamblin,L,,75,Med,Sniper,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Jeff Malott,L,,75,Exact,,,Canada,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Nathan Gaucher,C,41,75,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Tim Washe,C,42,75,Med,,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Tyson Hinds,D,60,75,Med,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Anton Wahlberg,C,,74,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Nikita Nesterenko,C,13,74,Med,,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Jett Woo,D,,73,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Noah Warren,D,47,71,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,Stian Solberg,D,50,70,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Judd Caulfield,R,75,69,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,Nico Myatovic,L,48,69,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Damian Clara,G,68,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Vyacheslav Buteyets,G,32,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
