Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
28,Tyler Kleven,D,43,76,MED,,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Carter Yakemchuk,D,58,75,MED,,,Canada,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Ryan Suzuki,C,,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Xavier Bourgault,R,53,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Cameron Crotty,D,5,74,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,Graeme Clarke,R,49,74,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Leevi Merilainen,G,1,74,MED,,,Finland,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,Christian Kyrou,D,,73,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,Hayden Hodgson,R,42,69,LOW,,,Canada,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,Oskar Pettersson,R,63,69,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,Tyler Boucher,R,54,69,LOW,,,United States,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
39,Philippe Daoust,C,,66,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
