Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
21,Nick Cousins,C,21,79,LOW,,,Canada,33,83,83,83,82,83,79,83,69,80,83,81,83,83,78,84,84,83,83,84,85,85,83,87,84,86,82,,85,82,73,86,1975,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
22,Sammy Blais,L,,79,HIGH,,,Canada,30,83,83,83,82,83,79,83,69,80,83,81,83,83,78,84,84,83,83,84,85,85,83,87,84,86,82,,85,82,73,86,1975,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
23,Kurtis MacDermid,L,23,77,MED,,,Canada,32,82,82,82,81,82,78,82,69,80,83,80,83,81,76,83,83,82,83,83,84,84,82,86,82,86,82,,85,81,74,86,1958,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
24,Stephen Halliday,C,83,77,MED,,,Canada,24,82,82,82,81,82,78,82,69,80,83,80,83,81,76,83,83,82,83,83,84,84,82,86,82,86,82,,85,81,74,86,1958,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
25,Lassi Thomson,D,60,76,MED,,,Finland,25,76,76,74,77,78,78,85,57,87,83,77,79,76,75,79,79,78,81,78,80,81,76,87,76,86,83,,88,80,76,87,1899,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
26,Nikolas Matinpalo,D,33,76,MED,,,Finland,27,76,76,74,77,78,78,85,57,87,83,77,79,76,75,79,79,78,81,78,80,81,76,87,76,86,83,,88,80,76,87,1899,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
27,Olle Lycksell,R,15,76,MED,,,,26,81,81,81,80,81,78,82,69,80,82,79,83,80,75,83,83,82,82,83,84,84,82,86,82,86,81,,85,81,74,85,1949,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
28,Tyler Kleven,D,43,76,MED,,,United States,24,76,76,74,77,78,78,85,57,87,83,77,79,76,75,79,79,78,81,78,80,81,76,87,76,86,83,,88,80,76,87,1899,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
29,Carter Yakemchuk,D,58,75,MED,,,Canada,20,75,75,73,76,77,78,84,57,88,83,76,78,75,75,79,78,77,81,78,79,80,75,86,75,86,83,,89,79,77,87,1888,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
30,Ryan Suzuki,C,,75,MED,,,,25,80,80,81,79,80,78,81,68,80,82,79,83,79,74,82,82,82,82,83,83,83,81,86,81,85,81,,85,81,74,85,1937,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
31,Xavier Bourgault,R,53,75,MED,,,,23,80,80,81,79,80,78,81,68,80,82,79,83,79,74,82,82,82,82,83,83,83,81,86,81,85,81,,85,81,74,85,1937,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
32,Cameron Crotty,D,5,74,MED,,,Canada,27,74,75,72,75,76,78,84,57,88,83,76,78,75,75,78,78,76,80,77,78,80,74,86,74,86,83,,89,79,77,87,1879,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
33,Graeme Clarke,R,49,74,MED,,,United States,25,80,80,80,78,80,78,81,68,79,82,78,83,78,73,82,82,81,82,83,83,83,80,86,80,85,81,,85,80,75,85,1929,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
34,Leevi Merilainen,G,1,74,MED,,,Finland,24,,,,82,,,,,,,,,,,,,79,,79,81,,,,,,,,,79,,,1216,Goalie: site OVR + estimated attribute profile,73,76,74,72,69,72,78,73,76,75,78,3,MED
35,Christian Kyrou,D,,73,MED,,,,22,74,75,72,75,75,78,83,57,88,83,76,78,75,75,77,77,75,79,77,78,80,74,86,73,85,83,,89,78,77,87,1871,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
36,Hayden Hodgson,R,42,69,LOW,,,Canada,30,76,76,78,75,76,76,79,67,78,81,76,83,75,70,80,79,79,80,82,81,81,77,85,77,84,81,,86,78,76,84,1886,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
37,Oskar Pettersson,R,63,69,MED,,,Sweden,22,76,76,78,75,76,76,79,67,78,81,76,83,75,70,80,79,79,80,82,81,81,77,85,77,84,81,,86,78,76,84,1886,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
38,Tyler Boucher,R,54,69,LOW,,,United States,23,76,76,78,75,76,76,79,67,78,81,76,83,75,70,80,79,79,80,82,81,81,77,85,77,84,81,,86,78,76,84,1886,Interpolated (estimated from OVR),,,,,,,,,,,,3,LOW
39,Philippe Daoust,C,,66,MED,,,,24,76,76,76,75,75,76,78,66,78,81,76,83,75,70,79,78,77,79,81,80,80,76,84,77,83,81,,86,76,77,84,1871,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
