Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
12,Anton Lundell,C,15,85,MED,2 Way Forward,,Finland,24,85,85,85,85,85,84,87,77,83,88,85,85,86,85,85,85,85,85,84,86,86,85,87,85,87,81,,83,85,70,87,2025
13,Radko Gudas,D,7,84,MED,Defensive D-man,X-Factor,Czechia,36,81,81,79,82,82,78,86,55,89,81,80,79,80,82,83,82,80,86,83,84,87,84,92,83,89,88,,94,85,80,92,1990
14,Eetu Luostarinen,C,27,82,MED,,,Finland,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Lars Eller,C,,82,HIGH,,,Denmark,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Niko Mikkola,D,77,82,MED,,,Finland,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Dmitry Kulikov,D,7,81,MED,,,Russia,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Garnet Hathaway,R,,81,HIGH,,,United States,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Luke Kunin,C,71,81,MED,2 Way Forward,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Akira Schmid,G,40,80,MED,Hybrid,,Switzerland,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Johnny Beecher,C,,80,MED,,,United States,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Tomas Nosek,L,92,80,MED,,,Czechia,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Sam Lafferty,C,,79,MED,,,United States,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Uvis Balinskis,D,26,79,MED,,,Latvia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Jonah Gadjovich,L,12,77,MED,Power Forward,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Tobias Bjornfot,D,,77,LOW,,,Sweden,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Alexander Petrovic,D,,75,EXACT,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Angus Crookshank,L,,75,MED,,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Bokondji Imama,L,,75,MED,,,Canada,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Cole Schwindt,R,79,75,MED,2 Way D-Man,,Canada,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Mike Benning,D,20,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Sandis Vilmanis,L,95,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,Cole Reinhardt,L,29,74,MED,,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Donovan Sebrango,D,6,71,MED,,,Canada,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,Emil Pieniniemi,D,79,66,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,Cooper Black,G,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
